compartment	kegg	bigg_id	flux
c	R00014	4MOPDC	0.0
c	R00200	PYK	17.721989707312286
c	R00235	ACS	0.1470705880223831
c	R00341	PPCK	0.0
c	R00658	ENO	17.87415551829023
c	R00703	2HBO	0.0
c	R00711	ALDD2y	0.13057588320014218
c	R00746	ALCD19y	0.0
c	R00754	ALCD2x	
c	R00756	PFK	0.0
c	R00762	FBP	0.0
c	R00959	PPM	1.6573133734794688e-20
c	R01015	TPI	8.917769447213562
c	R01061	GAPD	18.03820442551705
c	R01068	FBA	0.0
c	R01512	PGK	-18.03820442551705
c	R01518	PGM	-17.87415551829023
c	R01600	GLUK	8.706603802182075
c	R01662	DPGM	0.0
c	R02739	G6PI	0.0
c	R10860	ALDD19xr	0.0
m	R00014	ACHBSm	0.055471721103764374
m	R00235	ACSm	0.0
m	R00710	ALDD2xm	0.0
m	R00711	ALDD2ym	0.0
m	R00746	ALCD22xim	0.0
m	R00754	ALCD2irm	0.0
m	R02569	PDHm	0.7083890427218412
m	R07618	GLYCLm	0.0
m	R10860	ALDD20xm	0.0
x	R00235	ACSp	0.0
