compartment	kegg	bigg_id	flux
c	R00238	ACACT1r	0.0
c	R00623	ALCD22xi	0.0
c	R00631	ALDD19xr	0.0
c	R01280	FACOAL160	-0.005319758204450263
m	R00238	ACACT1m	0.0037998272888930436
m	R00623	ALCD22xim	0.0
m	R00631	ALDD20xm	0.0
m	R03026	T4HCINNMFM	0.0
x	R01280	FACOAL160p	0.0
x	R01975	HACD10p	0.0
x	R03778	ACACT4p	0.0
x	R03858	ACACT6p	0.0
x	R03991	ACACT7p	0.0
x	R04170	ECOAH5p	0.0
x	R04737	HACD7p	0.0
x	R04738	ECOAH7p	0.0
x	R04739	HACD6p	0.0
x	R04740	ECOAH6p	0.0
x	R04741	HACD5p	0.0
x	R04742	ACACT5p	0.0
x	R04743	HACD4p	0.0
x	R04744	ECOAH4p	0.0
