compartment	kegg	bigg_id	flux
c	R00268	r0082	0.0
c	R00342	MDH	578.0519108124117
c	R00352	ACITL	0.0
c	R00431	PEPCK_re	0.0
c	R00709	ICDHyr	0.0
c	R01082	FUM	-421.9480891875882
c	R01325	ACONT	-153.25495717539604
c	R01899	r0422	0.0
m	R00268	r0083	0.0
m	R00342	MDHm	0.0
m	R00344	PCm	0.0
m	R00351	CSm	0.0
m	R00352	r1109	0.0
m	R00405	SUCOASm	-1000.0
m	R00431	PEPCKm	1000.0
m	R00432	SUCOAS1m	-1000.0
m	R00709	ICDHxm	0.0
m	R01082	FUMm	1000.0
m	R01325	r0317	0.0
m	R01899	r0423	0.0
m	R01900	r0426	0.0
m	R02164	SUCD1m	578.0519108124116
m	R02569	PDHm	0.0
m	R02570	AKGDm	366.23935163443684
m	R07618	2OXOADOXm	0.0
x	R00268	r0084	0.0
x	R00342	MDHp	0.0
x	R00709	ICDHyp	0.0
x	R01899	r0424	0.0
