status	bigg_id	organism	pathway	pathway_rn	pathway_label	source_reaction_count	source_metabolite_count	source_gene_count	model_reactions	model_metabolites	kegg_reactions	kegg_metabolites	kgml_reaction_entries_omitted	kgml_reactions_omitted	matched_reactions	unmatched_reactions	reaction_retention_percent	matched_metabolites	unmatched_metabolites	metabolite_retention_percent	escher_nodes	escher_reactions	escher_segments	invalid_segments_removed	secondary_nodes_seen	secondary_nodes_converted	map_json	map_html	summary_json	model_xml	elapsed_seconds	error
built	iAF692	Methanosarcina barkeri str. Fusaro	map00030	rn00030	Pentose phosphate pathway	690	628	692	690	628	58	37	1	R06837	17	41	29.31	21	16	56.76	107	17	104	0	30	0	outputs\bigg_prokaryote_bioemma\maps\map00030\iAF692\iAF692_map00030_map.json	outputs\bigg_prokaryote_bioemma\maps\map00030\iAF692\iAF692_map00030_map.html	outputs\bigg_prokaryote_bioemma\maps\map00030\iAF692\summary.json	outputs\bigg_prokaryote_bioemma\models\iAF692.xml	1.324	
built	iAF692	Methanosarcina barkeri str. Fusaro	map00680	rn00680	Methane metabolism / C1 metabolism	690	628	692	690	628	104	86	3	R08323, R08328, R10397	43	61	41.35	57	29	66.28	301	43	284	0	105	0	outputs\bigg_prokaryote_bioemma\maps\map00680\iAF692\iAF692_map00680_map.json	outputs\bigg_prokaryote_bioemma\maps\map00680\iAF692\iAF692_map00680_map.html	outputs\bigg_prokaryote_bioemma\maps\map00680\iAF692\summary.json	outputs\bigg_prokaryote_bioemma\models\iAF692.xml	1.266	
built	iAF987	Geobacter metallireducens GS-15	map00010	rn00010	Glycolysis / gluconeogenesis	1285	1109	987	1285	1109	56	31	0		33	23	58.93	18	13	58.06	222	33	233	0	96	0	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF987\iAF987_map00010_map.json	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF987\iAF987_map00010_map.html	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF987\summary.json	outputs\bigg_prokaryote_bioemma\models\iAF987.xml	1.525	
built	iAF987	Geobacter metallireducens GS-15	map00020	rn00020	Citrate cycle (TCA cycle)	1285	1109	987	1285	1109	29	20	0		22	7	75.86	13	7	65.0	155	22	167	0	69	0	outputs\bigg_prokaryote_bioemma\maps\map00020\iAF987\iAF987_map00020_map.json	outputs\bigg_prokaryote_bioemma\maps\map00020\iAF987\iAF987_map00020_map.html	outputs\bigg_prokaryote_bioemma\maps\map00020\iAF987\summary.json	outputs\bigg_prokaryote_bioemma\models\iAF987.xml	1.017	
built	iAF987	Geobacter metallireducens GS-15	map00030	rn00030	Pentose phosphate pathway	1285	1109	987	1285	1109	58	37	1	R06837	23	35	39.66	18	19	48.65	142	23	146	0	48	0	outputs\bigg_prokaryote_bioemma\maps\map00030\iAF987\iAF987_map00030_map.json	outputs\bigg_prokaryote_bioemma\maps\map00030\iAF987\iAF987_map00030_map.html	outputs\bigg_prokaryote_bioemma\maps\map00030\iAF987\summary.json	outputs\bigg_prokaryote_bioemma\models\iAF987.xml	1.423	
built	iAF987	Geobacter metallireducens GS-15	map00680	rn00680	Methane metabolism / C1 metabolism	1285	1109	987	1285	1109	104	86	3	R08323, R08328, R10397	28	76	26.92	29	57	33.72	222	28	209	0	92	0	outputs\bigg_prokaryote_bioemma\maps\map00680\iAF987\iAF987_map00680_map.json	outputs\bigg_prokaryote_bioemma\maps\map00680\iAF987\iAF987_map00680_map.html	outputs\bigg_prokaryote_bioemma\maps\map00680\iAF987\summary.json	outputs\bigg_prokaryote_bioemma\models\iAF987.xml	2.041	
built	iAPECO1_1312	Escherichia coli APEC O1	map00010	rn00010	Glycolysis / gluconeogenesis	2735	1942	1313	2735	1942	56	31	0		41	15	73.21	22	9	70.97	279	41	294	0	125	0	outputs\bigg_prokaryote_bioemma\maps\map00010\iAPECO1_1312\iAPECO1_1312_map00010_map.json	outputs\bigg_prokaryote_bioemma\maps\map00010\iAPECO1_1312\iAPECO1_1312_map00010_map.html	outputs\bigg_prokaryote_bioemma\maps\map00010\iAPECO1_1312\summary.json	outputs\bigg_prokaryote_bioemma\models\iAPECO1_1312.xml	1.921	
built	iAPECO1_1312	Escherichia coli APEC O1	map00020	rn00020	Citrate cycle (TCA cycle)	2735	1942	1313	2735	1942	29	20	0		23	6	79.31	13	7	65.0	158	23	171	0	69	0	outputs\bigg_prokaryote_bioemma\maps\map00020\iAPECO1_1312\iAPECO1_1312_map00020_map.json	outputs\bigg_prokaryote_bioemma\maps\map00020\iAPECO1_1312\iAPECO1_1312_map00020_map.html	outputs\bigg_prokaryote_bioemma\maps\map00020\iAPECO1_1312\summary.json	outputs\bigg_prokaryote_bioemma\models\iAPECO1_1312.xml	1.44	
built	iAPECO1_1312	Escherichia coli APEC O1	map00030	rn00030	Pentose phosphate pathway	2735	1942	1313	2735	1942	58	37	1	R06837	34	24	58.62	26	11	70.27	206	34	217	0	73	0	outputs\bigg_prokaryote_bioemma\maps\map00030\iAPECO1_1312\iAPECO1_1312_map00030_map.json	outputs\bigg_prokaryote_bioemma\maps\map00030\iAPECO1_1312\iAPECO1_1312_map00030_map.html	outputs\bigg_prokaryote_bioemma\maps\map00030\iAPECO1_1312\summary.json	outputs\bigg_prokaryote_bioemma\models\iAPECO1_1312.xml	1.961	
built	iAPECO1_1312	Escherichia coli APEC O1	map00680	rn00680	Methane metabolism / C1 metabolism	2735	1942	1313	2735	1942	104	86	3	R08323, R08328, R10397	32	72	30.77	36	50	41.86	239	32	229	0	96	0	outputs\bigg_prokaryote_bioemma\maps\map00680\iAPECO1_1312\iAPECO1_1312_map00680_map.json	outputs\bigg_prokaryote_bioemma\maps\map00680\iAPECO1_1312\iAPECO1_1312_map00680_map.html	outputs\bigg_prokaryote_bioemma\maps\map00680\iAPECO1_1312\summary.json	outputs\bigg_prokaryote_bioemma\models\iAPECO1_1312.xml	2.999	
built	iB21_1397	Escherichia coli BL21(DE3)	map00010	rn00010	Glycolysis / gluconeogenesis	2741	1943	1337	2741	1943	56	31	0		41	15	73.21	21	10	67.74	278	41	293	0	124	0	outputs\bigg_prokaryote_bioemma\maps\map00010\iB21_1397\iB21_1397_map00010_map.json	outputs\bigg_prokaryote_bioemma\maps\map00010\iB21_1397\iB21_1397_map00010_map.html	outputs\bigg_prokaryote_bioemma\maps\map00010\iB21_1397\summary.json	outputs\bigg_prokaryote_bioemma\models\iB21_1397.xml	2.045	
built	iB21_1397	Escherichia coli BL21(DE3)	map00020	rn00020	Citrate cycle (TCA cycle)	2741	1943	1337	2741	1943	29	20	0		23	6	79.31	13	7	65.0	158	23	171	0	69	0	outputs\bigg_prokaryote_bioemma\maps\map00020\iB21_1397\iB21_1397_map00020_map.json	outputs\bigg_prokaryote_bioemma\maps\map00020\iB21_1397\iB21_1397_map00020_map.html	outputs\bigg_prokaryote_bioemma\maps\map00020\iB21_1397\summary.json	outputs\bigg_prokaryote_bioemma\models\iB21_1397.xml	1.328	
built	iB21_1397	Escherichia coli BL21(DE3)	map00030	rn00030	Pentose phosphate pathway	2741	1943	1337	2741	1943	58	37	1	R06837	33	25	56.9	26	11	70.27	201	33	211	0	71	0	outputs\bigg_prokaryote_bioemma\maps\map00030\iB21_1397\iB21_1397_map00030_map.json	outputs\bigg_prokaryote_bioemma\maps\map00030\iB21_1397\iB21_1397_map00030_map.html	outputs\bigg_prokaryote_bioemma\maps\map00030\iB21_1397\summary.json	outputs\bigg_prokaryote_bioemma\models\iB21_1397.xml	1.957	
