compartment	kegg	bigg_id	flux
c	R00200	PYK	1000.0
c	R00205	ALR	0.0
c	R00216	ME2	0.0
c	R00217	OAADC	0.0
c	R00227	ACOAH	0.0
c	R00229	ACCOAL	0.0
c	R00236	r0068	0.0
c	R00238	ACACT1r	0.0
c	R00316	r0097	0.0
c	R00317	ACYP	0.0
c	R00342	MDH	578.0519108124117
c	R00363	HMR_9680	0.0
c	R00431	PEPCK_re	0.0
c	R00703	LDH_L	-1000.0
c	R00704	LDH_D	3.028541508767037e-13
c	R00710	ALDD2x	0.0
c	R00711	ALDD2y	0.0
c	R00742	ACCOAC	0.0
c	R00746	ALCD2y	1.2119436404960136e-13
c	R00754	ALCD2x	0.0
c	R01082	FUM	-421.9480891875882
c	R01446	LCADi	0.0
c	R01735	LCADi_D	0.0
c	R01736	GLYOX	0.0
c	R02320	PYK2	970.5276944777647
c	R02527	ALCD22_D	0.0
c	R02530	LGTHL	0.0
m	R00203	ALDD20xm	0.0
m	R00205	r0548	0.0
m	R00210	PDHm	0.0
m	R00214	ME1m	0.0
m	R00216	ME2m	0.0
m	R00227	ACOAHim	0.0
m	R00236	ACSm	0.0
m	R00238	ACACT1m	0.0
m	R00271	CSm	0.0
m	R00342	MDHm	0.0
m	R00344	PCm	0.0
m	R00431	PEPCKm	1000.0
m	R00703	LDH_Lm	0.0
m	R00710	ALDD2xm	0.0
m	R00742	ACCOACrm	0.0
m	R00746	r0246	0.0
m	R01082	FUMm	1000.0
m	R01446	LCADm	0.0
m	R01736	GLYOXm	1000.0000000000002
m	R02164	SUCD1m	578.0519108124116
m	R02527	GLYCLTDym	0.0
m	R07618	2OXOADOXm	0.0
x	R00216	ICDHyp	0.0
x	R00227	HMR_3475	0.0
x	R00238	ACACT1x	0.0
x	R00342	MDHp	0.0
x	R00363	HMR_9680	0.0
x	R00703	r0173	6.227414289578958e-14
