pathway	pathway_rn	pathway_label	model_count	pair_count	identical_pair_count	identical_pair_percent	mean_jaccard	median_jaccard	min_jaccard	max_jaccard	mean_reaction_count	median_reaction_count	min_reaction_count	max_reaction_count	union_reaction_count	core_reaction_count	variable_reaction_count	core_reactions	variable_reactions
map00010	rn00010	Glycolysis / gluconeogenesis	87	3741	1301	34.78	0.8847	0.9512	0.5217	1.0	38.72	41.0	24	42	49	16	33	R00014|R00199|R00658|R00746|R00762|R00959|R01015|R01061|R01063|R01068|R01512|R01516|R01518|R01662|R02739|R13199	R00200|R00206|R00229|R00235|R00341|R00431|R00703|R00710|R00711|R00726|R00754|R00755|R00756|R00764|R00947|R01058|R01196|R01600|R01602|R01786|R01788|R02569|R03270|R04394|R05132|R05133|R05134|R05198|R05805|R07618|R09085|R09086|R10860
map00020	rn00020	Citrate cycle (TCA cycle)	87	3741	1446	38.65	0.8655	0.9565	0.3182	1.0	21.66	23.0	9	23	26	4	22	R00014|R00351|R01325|R01900	R00268|R00341|R00342|R00344|R00352|R00361|R00405|R00431|R00621|R00709|R00726|R01082|R01196|R01197|R01899|R02164|R02569|R02570|R03270|R03316|R07618|R10343
map00030	rn00030	Pentose phosphate pathway	87	3741	1072	28.66	0.8782	0.9412	0.3421	1.0	31.98	34.0	17	34	45	10	35	R00762|R01049|R01056|R01057|R01067|R01068|R01529|R01641|R02739|R13199	R00756|R00764|R01051|R01058|R01066|R01520|R01521|R01528|R01538|R01541|R01621|R01737|R01739|R01741|R02032|R02034|R02035|R02036|R02658|R02736|R02749|R02750|R05605|R05805|R06836|R07147|R08570|R08572|R08575|R10221|R10555|R10615|R10860|R10907|R13089
map00680	rn00680	Methane metabolism / C1 metabolism	87	3741	1091	29.16	0.8849	0.9375	0.3636	1.0	30.99	32.0	17	43	57	12	45	R00199|R00315|R00582|R00658|R00762|R00945|R01068|R01440|R01513|R01518|R06983|R09099	R00134|R00230|R00235|R00342|R00345|R00519|R00527|R00588|R00604|R00605|R00614|R00736|R00756|R01011|R01196|R01388|R03464|R04173|R05774|R05805|R06982|R07136|R07157|R08059|R08214|R08215|R08217|R08331|R08332|R08572|R09098|R09124|R09397|R09398|R09399|R09400|R09998|R09999|R10392|R10393|R10395|R10396|R12646|R12648|R12754
