pathway	pathway_rn	pathway_label	model_id	organism	status	model_reactions	model_metabolites	kegg_reactions	kgml_reactions_omitted	matched_reactions	unmatched_reactions	reaction_retention_percent	matched_metabolites	unmatched_metabolites	metabolite_retention_percent	map_json	summary_json
map00020	rn00020	Citrate cycle (TCA cycle)	iLF82_1304	Escherichia coli LF82	built	2726	1938	29		23	6	79.31	13	7	65.0	results\prokaryote_maps\maps\map00020\iLF82_1304\iLF82_1304_map00020_map.json	results\prokaryote_maps\maps\map00020\iLF82_1304\summary.json
map00030	rn00030	Pentose phosphate pathway	iLF82_1304	Escherichia coli LF82	built	2726	1938	58	R06837	34	24	58.62	26	11	70.27	results\prokaryote_maps\maps\map00030\iLF82_1304\iLF82_1304_map00030_map.json	results\prokaryote_maps\maps\map00030\iLF82_1304\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iLF82_1304	Escherichia coli LF82	built	2726	1938	104	R08323, R08328, R10397	32	72	30.77	36	50	41.86	results\prokaryote_maps\maps\map00680\iLF82_1304\iLF82_1304_map00680_map.json	results\prokaryote_maps\maps\map00680\iLF82_1304\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iLJ478	Thermotoga maritima MSB8	built	652	570	56		26	30	46.43	19	12	61.29	results\prokaryote_maps\maps\map00010\iLJ478\iLJ478_map00010_map.json	results\prokaryote_maps\maps\map00010\iLJ478\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iLJ478	Thermotoga maritima MSB8	built	652	570	29		13	16	44.83	12	8	60.0	results\prokaryote_maps\maps\map00020\iLJ478\iLJ478_map00020_map.json	results\prokaryote_maps\maps\map00020\iLJ478\summary.json
map00030	rn00030	Pentose phosphate pathway	iLJ478	Thermotoga maritima MSB8	built	652	570	58	R06837	31	27	53.45	26	11	70.27	results\prokaryote_maps\maps\map00030\iLJ478\iLJ478_map00030_map.json	results\prokaryote_maps\maps\map00030\iLJ478\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iLJ478	Thermotoga maritima MSB8	built	652	570	104	R08323, R08328, R10397	22	82	21.15	29	57	33.72	results\prokaryote_maps\maps\map00680\iLJ478\iLJ478_map00680_map.json	results\prokaryote_maps\maps\map00680\iLJ478\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iML1515	Escherichia coli str. K-12 substr. MG1655	built	2712	1877	56		40	16	71.43	20	11	64.52	results\prokaryote_maps\maps\map00010\iML1515\iML1515_map00010_map.json	results\prokaryote_maps\maps\map00010\iML1515\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iML1515	Escherichia coli str. K-12 substr. MG1655	built	2712	1877	29		22	7	75.86	13	7	65.0	results\prokaryote_maps\maps\map00020\iML1515\iML1515_map00020_map.json	results\prokaryote_maps\maps\map00020\iML1515\summary.json
map00030	rn00030	Pentose phosphate pathway	iML1515	Escherichia coli str. K-12 substr. MG1655	built	2712	1877	58	R06837	34	24	58.62	25	12	67.57	results\prokaryote_maps\maps\map00030\iML1515\iML1515_map00030_map.json	results\prokaryote_maps\maps\map00030\iML1515\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iML1515	Escherichia coli str. K-12 substr. MG1655	built	2712	1877	104	R08323, R08328, R10397	31	73	29.81	37	49	43.02	results\prokaryote_maps\maps\map00680\iML1515\iML1515_map00680_map.json	results\prokaryote_maps\maps\map00680\iML1515\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iNF517	Lactococcus lactis subsp. cremoris MG1363	built	754	650	56		30	26	53.57	21	10	67.74	results\prokaryote_maps\maps\map00010\iNF517\iNF517_map00010_map.json	results\prokaryote_maps\maps\map00010\iNF517\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iNF517	Lactococcus lactis subsp. cremoris MG1363	built	754	650	29		13	16	44.83	12	8	60.0	results\prokaryote_maps\maps\map00020\iNF517\iNF517_map00020_map.json	results\prokaryote_maps\maps\map00020\iNF517\summary.json
map00030	rn00030	Pentose phosphate pathway	iNF517	Lactococcus lactis subsp. cremoris MG1363	built	754	650	58	R06837	25	33	43.1	25	12	67.57	results\prokaryote_maps\maps\map00030\iNF517\iNF517_map00030_map.json	results\prokaryote_maps\maps\map00030\iNF517\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iNF517	Lactococcus lactis subsp. cremoris MG1363	built	754	650	104	R08323, R08328, R10397	20	84	19.23	26	60	30.23	results\prokaryote_maps\maps\map00680\iNF517\iNF517_map00680_map.json	results\prokaryote_maps\maps\map00680\iNF517\summary.json
