pathway	pathway_rn	pathway_label	model_count	mean_matched_reactions	median_matched_reactions	min_matched_reactions	max_matched_reactions	mean_reaction_retention_percent	median_reaction_retention_percent	min_reaction_retention_percent	max_reaction_retention_percent
map00010	rn00010	Glycolysis / gluconeogenesis	87	14.71	15.0	10	22	26.27	26.79	17.86	39.29
map00020	rn00020	Citrate cycle (TCA cycle)	87	6.85	7.0	2	11	23.62	24.14	6.9	37.93
map00030	rn00030	Pentose phosphate pathway	87	19.92	21.0	10	22	34.34	36.21	17.24	37.93
map00680	rn00680	Methane metabolism / C1 metabolism	87	19.82	21.0	11	31	19.05	20.19	10.58	29.81




