pathway_id	pathway_name	category	kegg_reactions	seed_mapped	bigg_mapped	both_bigg_and_seed	either_bigg_or_seed	unmapped_to_bigg_or_seed	seed_mapped_percent	bigg_mapped_percent	either_mapped_percent
map00643	Styrene degradation	Metabolism; Xenobiotics biodegradation and metabolism	23	19	7	7	19	4	82.6%	30.4%	82.6%
map00650	Butanoate metabolism	Metabolism; Carbohydrate metabolism	63	55	44	42	57	6	87.3%	69.8%	90.5%
map00660	C5-Branched dibasic acid metabolism	Metabolism; Carbohydrate metabolism	33	29	5	5	29	4	87.9%	15.2%	87.9%
map00670	One carbon pool by folate	Metabolism; Metabolism of cofactors and vitamins	33	31	24	24	31	2	93.9%	72.7%	93.9%
map00680	Methane metabolism	Metabolism; Energy metabolism	89	76	39	38	77	12	85.4%	43.8%	86.5%
map00710	Carbon fixation in photosynthetic organisms	Metabolism; Energy metabolism	26	26	16	16	26	0	100.0%	61.5%	100.0%
map00720	Carbon fixation pathways in prokaryotes	Metabolism; Energy metabolism	51	47	37	36	48	3	92.2%	72.5%	94.1%
map00730	Thiamine metabolism	Metabolism; Metabolism of cofactors and vitamins	28	21	13	12	22	6	75.0%	46.4%	78.6%
map00740	Riboflavin metabolism	Metabolism; Metabolism of cofactors and vitamins	24	15	11	7	19	5	62.5%	45.8%	79.2%
map00750	Vitamin B6 metabolism	Metabolism; Metabolism of cofactors and vitamins	40	39	20	20	39	1	97.5%	50.0%	97.5%
map00760	Nicotinate and nicotinamide metabolism	Metabolism; Metabolism of cofactors and vitamins	68	51	28	28	51	17	75.0%	41.2%	75.0%
map00770	Pantothenate and CoA biosynthesis	Metabolism; Metabolism of cofactors and vitamins	32	27	23	21	29	3	84.4%	71.9%	90.6%
map00780	Biotin metabolism	Metabolism; Metabolism of cofactors and vitamins	23	14	6	6	14	9	60.9%	26.1%	60.9%
map00785	Lipoic acid metabolism	Metabolism; Metabolism of cofactors and vitamins	6	1	0	0	1	5	16.7%	0.0%	16.7%
map00790	Folate biosynthesis	Metabolism; Metabolism of cofactors and vitamins	38	26	24	20	30	8	68.4%	63.2%	78.9%
map00791	Atrazine degradation	Metabolism; Xenobiotics biodegradation and metabolism	23	22	2	2	22	1	95.7%	8.7%	95.7%
map00830	Retinol metabolism	Metabolism; Metabolism of cofactors and vitamins	31	17	11	11	17	14	54.8%	35.5%	54.8%
map00860	Porphyrin and chlorophyll metabolism	Metabolism; Metabolism of cofactors and vitamins	141	74	32	28	78	63	52.5%	22.7%	55.3%
map00900	Terpenoid backbone biosynthesis	Metabolism; Metabolism of terpenoids and polyketides	52	35	12	12	35	17	67.3%	23.1%	67.3%
map00901	Indole alkaloid biosynthesis	Metabolism; Biosynthesis of other secondary metabolites	46	16	1	1	16	30	34.8%	2.2%	34.8%
map00902	Monoterpenoid biosynthesis	Metabolism; Metabolism of terpenoids and polyketides	53	34	0	0	34	19	64.2%	0.0%	64.2%
map00903	Limonene and pinene degradation	Metabolism; Metabolism of terpenoids and polyketides	67	55	3	3	55	12	82.1%	4.5%	82.1%
map00904	Diterpenoid biosynthesis	Metabolism; Metabolism of terpenoids and polyketides	111	82	0	0	82	29	73.9%	0.0%	73.9%
map00905	Brassinosteroid biosynthesis	Metabolism; Metabolism of terpenoids and polyketides	40	5	0	0	5	35	12.5%	0.0%	12.5%
map00906	Carotenoid biosynthesis	Metabolism; Metabolism of terpenoids and polyketides	134	73	3	3	73	61	54.5%	2.2%	54.5%
map00908	Zeatin biosynthesis	Metabolism; Metabolism of terpenoids and polyketides	34	23	0	0	23	11	67.6%	0.0%	67.6%
map00909	Sesquiterpenoid and triterpenoid biosynthesis	Metabolism; Metabolism of terpenoids and polyketides	86	65	0	0	65	21	75.6%	0.0%	75.6%
map00910	Nitrogen metabolism	Metabolism; Energy metabolism	42	21	16	16	21	21	50.0%	38.1%	50.0%
map00920	Sulfur metabolism	Metabolism; Energy metabolism	47	33	16	16	33	14	70.2%	34.0%	70.2%
map00930	Caprolactam degradation	Metabolism; Xenobiotics biodegradation and metabolism	22	20	1	1	20	2	90.9%	4.5%	90.9%
map00940	Phenylpropanoid biosynthesis	Metabolism; Biosynthesis of other secondary metabolites	87	80	3	3	80	7	92.0%	3.4%	92.0%
map00941	Flavonoid biosynthesis	Metabolism; Biosynthesis of other secondary metabolites	86	64	0	0	64	22	74.4%	0.0%	74.4%
map00942	Anthocyanin biosynthesis	Metabolism; Biosynthesis of other secondary metabolites	71	1	0	0	1	70	1.4%	0.0%	1.4%
map00943	Isoflavonoid biosynthesis	Metabolism; Biosynthesis of other secondary metabolites	68	52	0	0	52	16	76.5%	0.0%	76.5%
map00944	Flavone and flavonol biosynthesis	Metabolism; Biosynthesis of other secondary metabolites	48	38	0	0	38	10	79.2%	0.0%	79.2%
map00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis	Metabolism; Biosynthesis of other secondary metabolites	33	15	0	0	15	18	45.5%	0.0%	45.5%
