pathway	pathway_rn	pathway_label	model_count	mean_matched_reactions	median_matched_reactions	min_matched_reactions	max_matched_reactions	mean_reaction_retention_percent	median_reaction_retention_percent	min_reaction_retention_percent	max_reaction_retention_percent
map00010	rn00010	Glycolysis / gluconeogenesis	3	16.0	16.0	15	17	28.57	28.57	26.79	30.36
map00020	rn00020	Citrate cycle (TCA cycle)	3	9.67	9.0	7	13	33.33	31.03	24.14	44.83
map00030	rn00030	Pentose phosphate pathway	3	13.0	13.0	11	15	22.41	22.41	18.97	25.86
map00680	rn00680	Methane metabolism / C1 metabolism	3	16.0	15.0	14	19	15.38	14.42	13.46	18.27



