compartment	kegg	bigg_id	flux
c	R00200	PYK	0.5258514194110471
c	R00203	34DHALDD	0.0
c	R00205	ALR	0.0
c	R00216	ME2	0.0
c	R00217	CYSLYSL	0.0
c	R00227	ACOAH	0.0
c	R00229	ACCOAL	0.0
c	R00236	ACS	0.0
c	R00238	ACACT1r	
c	R00317	ACYP	0.0
c	R00342	MDH	-4.8575729825856
c	R00431	PEPCK_re	0.0
c	R00703	ALR2	0.0
c	R00704	LDH_D	2.597369466321365e-15
c	R00710	ALDD2x	0.0
c	R00711	ALDD2y	0.0
c	R00742	ACCOAC	5.913942871022954e-31
c	R00746	ALCD2y	0.0
c	R00754	FALDH	0.0
c	R01082	FUM	0.6821849551928372
c	R01446	LCADi	0.0
c	R01735	LCADi_D	2.597369466321365e-15
c	R01736	GLYOX	0.0
c	R02527	LALDO2x	2.597369466321365e-15
c	R02530	LGTHL	0.0
m	R00203	5HOXINDACTOXm	0.0
m	R00210	PDHm	0.757324293393158
m	R00214	ME1m	0.0
m	R00216	ME2m	0.0
m	R00217	DDPGAm	0.0
m	R00227	4HBZFm	0.0
m	R00236	ACSm	0.0
m	R00238	ACACT1m	7.320431239966673
m	R00271	CSm	0.6107828144858275
m	R00342	MDHm	7.040561699474832
m	R00344	PCm	0.00773435466475447
m	R00431	PEPCKm	0.0
m	R00703	LDH_Lm	0.0
m	R00710	ALDD2xm	0.0
m	R00711	4HGLSDm	0.0
m	R00742	ACCOACrm	0.0
m	R01082	FUMm	1.5008037616963956
m	R01446	LCADm	0.0
m	R01735	LCADi_Dm	0.0
m	R01736	GLYOXm	0.0
m	R02164	SUCD1m	1.5008037616963956
m	R02527	GLYCLTDym	0.0
m	R07618	2OXOADOXm	1.16285526593042
