compartment	kegg	bigg_id	flux
c	R00238	ACACT1r	0.0
c	R01090	LEUTA	1000.0
c	R01214	VALTA	311.20486131503367
c	R01357	AACOAT	0.0
c	R01859	ACCOAC	0.0
c	R01978	HMGCOAS	0.0
c	R02197	TYROX	0.0
c	R02199	ILETA	-658.2260238829525
c	R03383	ADPACDAc	0.0
c	R03869	LCADi_D	0.0
c	R03871	r0558	0.0
m	R00238	ACACT1m	0.0
m	R00410	OCOAT1m	0.0
m	R00833	MMMm	1000.0
m	R00922	MMSAD1m	0.0
m	R00927	ACACT10m	-791.036305271453
m	R01090	LEUTAm	-989.8281478053967
m	R01214	VALTAim	-1000.0
m	R01357	r0321	0.0
m	R01360	HMGLm	0.0
m	R01859	ACCOACrm	0.0
m	R01978	HMGCOASm	0.0
m	R02050	D3AIBTm	0.0
m	R02085	MGCHrm	0.0
m	R02199	ILETAm	0.0
m	R02662	OIVD2m	0.0
m	R02764	r0571	0.0
m	R02765	MMEm	0.0
m	R03174	OIVD3m	0.0
m	R03869	ALDD20xm	0.0
m	R04095	ACOAD8m	0.0
m	R04097	r0656	0.0
m	R04137	FAOXC5C5OHm	0.0
m	R04138	MCCCrm	0.0
m	R04188	3AIBTm	0.0
m	R04203	HACD9m	-791.0363052714531
m	R04204	ECOAH9m	-791.0363052714531
m	R04224	ECOAH12m	0.0
m	R05064	3HBCOAHLm	0.0
m	R07599	r0385	0.0
m	R07600	r0670	0.0
m	R07601	r0386	0.0
m	R07618	2OXOADOXm	0.0
x	R00238	ACACT1x	0.0
x	R00927	ACACT5p	0.0
x	R01360	HMGLx	0.0
x	R01978	r0463	0.0
x	R04137	ECOAH5p	0.0
x	R04203	HACD1x	0.0
