compartment	kegg	bigg_id	flux
c	R00238	ACACT1r	0.0
c	R00623	RDH1	0.0
c	R00631	34DHXMANDACOX	0.0
c	R01280	FACOAL160	0.0
c	R01923	C160CPT1	0.0
c	R01975	RE0581C	0.0
c	R04121	RE1587C	0.0
m	R00238	ACACT1m	0.0
m	R00623	RE1804M	0.0
m	R00631	ALDD20xm	0.0
m	R01175	ACOAD1fm	0.0
m	R01177	r0287	0.0
m	R01279	ACOADH160_m	0.0
m	R01923	C160CPT2	0.0
m	R01975	HACD1m	0.0
m	R02487	GLUTCOADHm	0.0
m	R03026	ECOAH1m	0.0
m	R03777	HMR_3149	0.0
m	R03778	ACACT4m	0.0
m	R03857	ACOADH120_m	0.0
m	R03858	ACACT6m	0.0
m	R03990	HMR_3128	0.0
m	R03991	ACACT7m	0.0
m	R04170	ECOAH5m	0.0
m	R04737	r0714_1	0.0
m	R04738	r0716_1	0.0
m	R04739	HACD6m	0.0
m	R04740	r0720_1	0.0
m	R04741	HACD5m	0.0
m	R04742	ACACT5m	0.0
m	R04743	HACD4m	0.0
m	R04744	ECOAH4m	0.0
m	R04745	r0730	0.0
m	R04746	r0731	0.0
m	R04747	r0732	0.0
m	R04748	r0733	0.0
m	R04749	r0734	0.0
m	R04751	ACOADH60_m	0.0
m	R04754	ACOADH100_m	0.0
m	R04756	FAOXC122m	0.0
r	R00623	HMR_6633	0.0
r	R01280	r0311	0.0
r	R01923	r0434	0.0
r	R04121	RE2235R	0.0
x	R00238	ACACT1x	0.0
x	R01177	HMR_3101	0.0
x	R01923	r0437	0.0
x	R01975	HACD1x	0.0
x	R03026	ECOAH1x	0.0
x	R03778	ACACT4p	0.0
x	R03858	ACACT6p	0.0
x	R03991	ACACT7p	0.0
x	R04170	ECOAH5p	0.0
x	R04737	r0715	0.0
x	R04738	r0717	0.0
x	R04739	HACD6p	0.0
x	R04740	r0721	0.0
x	R04741	HACD5p	0.0
x	R04742	ACACT5p	0.0
x	R04743	HACD4p	0.0
x	R04744	ECOAH4p	0.0
x	R04745	HMR_3096	0.0
x	R04746	HMR_3095	0.0
x	R04747	HMR_3097	0.0
x	R04748	HMR_3100	0.0
x	R04749	HMR_3099	0.0
x	R04756	RE1573X	0.0
