pathway	pathway_rn	pathway_label	model_count	pair_count	identical_pair_count	identical_pair_percent	mean_jaccard	median_jaccard	min_jaccard	max_jaccard	mean_reaction_count	median_reaction_count	min_reaction_count	max_reaction_count	union_reaction_count	core_reaction_count	variable_reaction_count	core_reactions	variable_reactions
map00010	rn00010	Glycolysis / gluconeogenesis	57	1596	1012	63.41	0.9728	1.0	0.8	1.0	14.75	15.0	13	15	15	12	3	R00199|R00200|R00235|R00341|R00658|R00756|R00762|R01015|R01061|R01068|R01512|R01518	R00710|R00711|R00754
map00020	rn00020	Citrate cycle (TCA cycle)	57	1596	1540	96.49	0.99	1.0	0.7143	1.0	6.96	7.0	5	7	7	5	2	R00341|R00342|R00351|R00405|R01082	R01325|R01900
map00030	rn00030	Pentose phosphate pathway	57	1596	649	40.66	0.9601	0.9545	0.7727	1.0	21.18	21.0	19	22	24	16	8	R00756|R00762|R01049|R01056|R01057|R01066|R01067|R01068|R01528|R01529|R01541|R01737|R02036|R02749|R05605|R08575	R01051|R01739|R02034|R02035|R02750|R06836|R08572|R13089
map00680	rn00680	Methane metabolism / C1 metabolism	57	1596	1379	86.4	0.9884	1.0	0.7619	1.0	20.91	21.0	17	22	22	16	6	R00199|R00230|R00235|R00315|R00342|R00345|R00582|R00658|R00756|R00762|R00945|R01068|R01388|R01513|R01518|R04173	R00134|R00527|R06982|R06983|R08572|R12754



