pathway	pathway_rn	pathway_label	model_id	organism	reaction_count	reaction_set	status	map_json
map00010	rn00010	Glycolysis / gluconeogenesis	iECDH10B_1368	Escherichia coli str. K-12 substr. DH10B	15	R00199|R00200|R00235|R00341|R00658|R00710|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iECDH10B_1368\iECDH10B_1368_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iECDH1ME8569_1439	Escherichia coli DH1	15	R00199|R00200|R00235|R00341|R00658|R00710|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iECDH1ME8569_1439\iECDH1ME8569_1439_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iECD_1391	Escherichia coli BL21(DE3)	15	R00199|R00200|R00235|R00341|R00658|R00710|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iECD_1391\iECD_1391_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iECED1_1282	Escherichia coli ED1a	14	R00199|R00200|R00235|R00341|R00658|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iECED1_1282\iECED1_1282_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iECH74115_1262	Escherichia coli O157:H7 str. EC4115	15	R00199|R00200|R00235|R00341|R00658|R00710|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iECH74115_1262\iECH74115_1262_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iECIAI1_1343	Escherichia coli IAI1	15	R00199|R00200|R00235|R00341|R00658|R00710|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iECIAI1_1343\iECIAI1_1343_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iECIAI39_1322	Escherichia coli IAI39	15	R00199|R00200|R00235|R00341|R00658|R00710|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iECIAI39_1322\iECIAI39_1322_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iECNA114_1301	Escherichia coli NA114	15	R00199|R00200|R00235|R00341|R00658|R00710|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iECNA114_1301\iECNA114_1301_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iECO103_1326	Escherichia coli O103:H2 str. 12009	15	R00199|R00200|R00235|R00341|R00658|R00710|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iECO103_1326\iECO103_1326_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iECO111_1330	Escherichia coli O111:H- str. 11128	15	R00199|R00200|R00235|R00341|R00658|R00710|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iECO111_1330\iECO111_1330_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iECO26_1355	Escherichia coli O26:H11 str. 11368	15	R00199|R00200|R00235|R00341|R00658|R00710|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iECO26_1355\iECO26_1355_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iECOK1_1307	Escherichia coli IHE3034	14	R00199|R00200|R00235|R00341|R00658|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iECOK1_1307\iECOK1_1307_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iECP_1309	Escherichia coli 536	14	R00199|R00200|R00235|R00341|R00658|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iECP_1309\iECP_1309_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iECS88_1305	Escherichia coli S88	14	R00199|R00200|R00235|R00341|R00658|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iECS88_1305\iECS88_1305_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iECSE_1348	Escherichia coli SE11	15	R00199|R00200|R00235|R00341|R00658|R00710|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iECSE_1348\iECSE_1348_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iECSF_1327	Escherichia coli SE15	14	R00199|R00200|R00235|R00341|R00658|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iECSF_1327\iECSF_1327_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iECSP_1301	Escherichia coli O157:H7 str. TW14359	15	R00199|R00200|R00235|R00341|R00658|R00710|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iECSP_1301\iECSP_1301_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iECUMN_1333	Escherichia coli UMN026	15	R00199|R00200|R00235|R00341|R00658|R00710|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iECUMN_1333\iECUMN_1333_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iECW_1372	Escherichia coli W	15	R00199|R00200|R00235|R00341|R00658|R00710|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iECW_1372\iECW_1372_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iECs_1301	Escherichia coli O157:H7 str. Sakai	15	R00199|R00200|R00235|R00341|R00658|R00710|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iECs_1301\iECs_1301_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iEKO11_1354	Escherichia coli KO11FL	15	R00199|R00200|R00235|R00341|R00658|R00710|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iEKO11_1354\iEKO11_1354_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iETEC_1333	Escherichia coli ETEC H10407	15	R00199|R00200|R00235|R00341|R00658|R00710|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iETEC_1333\iETEC_1333_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iEcDH1_1363	Escherichia coli DH1	15	R00199|R00200|R00235|R00341|R00658|R00710|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iEcDH1_1363\iEcDH1_1363_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iEcE24377_1341	Escherichia coli O139:H28 str. E24377A	15	R00199|R00200|R00235|R00341|R00658|R00710|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iEcE24377_1341\iEcE24377_1341_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iEcHS_1320	Escherichia coli HS	15	R00199|R00200|R00235|R00341|R00658|R00710|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iEcHS_1320\iEcHS_1320_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iEcSMS35_1347	Escherichia coli SMS-3-5	15	R00199|R00200|R00235|R00341|R00658|R00710|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iEcSMS35_1347\iEcSMS35_1347_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iEcolC_1368	Escherichia coli ATCC 8739	15	R00199|R00200|R00235|R00341|R00658|R00710|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iEcolC_1368\iEcolC_1368_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iG2583_1286	Escherichia coli O55:H7 str. CB9615	15	R00199|R00200|R00235|R00341|R00658|R00710|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iG2583_1286\iG2583_1286_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iJO1366	Escherichia coli str. K-12 substr. MG1655	15	R00199|R00200|R00235|R00341|R00658|R00710|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iJO1366\iJO1366_map00010_map.json
