compartment	kegg	bigg_id	flux
c	R00014	4MOPDC	0.0
c	R00268	ICDHyr	0.2510539205902178
c	R00341	PPCK	0.0
c	R00342	MDH	1.3558978508431667
c	R00344	PC	0.5651955226524721
c	R01082	FUM	0.10811947965417336
c	R01325	ACONT	0.2660546024102459
c	R02164	FRDcm	0.0
m	R00014	ACHBSm	0.055471721103764374
m	R00268	ICDHym	0.26322439946695486
m	R00342	MDHm	-1.0117769482454484
m	R00351	CSm	0.5292790018772008
m	R00405	SUCOASm	-0.2210007411235172
m	R00621	AKGDam	0.22100074112351717
m	R00709	ICDHxm	0.0
m	R01082	FUMm	0.23600142294354534
m	R01325	ACONTm	0.2632243994669549
m	R02164	FRDcm	0.0
m	R02569	PDHm	0.7083890427218412
m	R02570	AKGDbm	0.22100074112351717
m	R07618	GLYCLm	0.0
x	R00268	ICDHyp	0.0
x	R00342	MDHp	0.0
x	R00351	CSp	0.0
