kegg	mnx_id	ec	bigg	seed	metacyc	rhea	description	ambiguous
R04165	MNXR108702	5.3.1.21		rxn02907	CORTICOSTEROID-SIDE-CHAIN-ISOMERASE-RXN	17861|17862|17863|17864	11-deoxycorticosterone ketol-isomerase||11-Deoxycorticosterone <=> 20-Hydroxy-3-oxopregn-4-en-21-al||1 keggC:C03205@IN <=> 1 keggC:C04108@IN	rhea(4)
R04166	MNXR108703	4.2.1.98		rxn02908	4.2.1.98-RXN	12584|12585|12586|12587	16alpha-hydroxyprogesterone hydro-lyase||16alpha-Hydroxyprogesterone <=> 16-Dehydroprogesterone + H2O||1 keggC:C03748@IN <=> 1 keggC:C03207@IN + 1 keggC:C00001@IN	rhea(4)
R04167	MNXR148576	3.1.3.63		rxn02909		17837|17838|17839|17840	2-carboxy-D-arabinitol-1-phosphate 1-phosphohydrolase||2-Carboxy-D-arabinitol 1-phosphate + H2O <=> 2-Carboxy-D-arabinitol + Orthophosphate||1 keggC:C04234@IN + 1 keggC:C00001@IN <=> 1 keggC:C03215@IN + 1 keggC:C00009@IN	rhea(4)
R04168#1	MNXR108705	2.4.2.6					nucleoside:purine(pyrimidine) deoxy-D-ribosyltransferase||Deoxynucleoside + Base <=> Deoxynucleoside + Base||1 keggC:C02269@IN + 1 keggC:C00701@IN <=> 1 keggC:C02269@OUT + 1 keggC:C00701@OUT	
R04168#2	MNXR108706	2.4.2.6					nucleoside:purine(pyrimidine) deoxy-D-ribosyltransferase||Deoxynucleoside + Base <=> Deoxynucleoside + Base||1 keggC:C02269@OUT + 1 keggC:C00701@IN <=> 1 keggC:C02269@IN + 1 keggC:C00701@OUT	
R04169	MNXR195753	2.1.1.91		rxn02910			S-adenosyl-L-methionine:2-methylpropanal-oxime O-methyltransferase||S-Adenosyl-L-methionine + (E)-2-Methylpropanal oxime <=> S-Adenosyl-L-homocysteine + 2-Methylpropanal O-methyloxime||1 keggC:C00019@IN + 1 keggC:C03219@IN <=> 1 keggC:C00021@IN + 1 keggC:C03982@IN	
R04170	MNXR153439	4.2.1.17|4.2.1.74	ECOAH5|ECOAH5m|ECOAH5p|R_ECOAH5|R_ECOAH5m|R_ECOAH5p	rxn02911|rxn19662|rxn34731	RXN-20675	31075|31076|31077|31078	(S)-3-hydroxydodecanoyl-CoA hydro-lyase||(S)-3-Hydroxydodecanoyl-CoA <=> 2-trans-Dodecenoyl-CoA + H2O||1 keggC:C05262@IN <=> 1 keggC:C03221@IN + 1 keggC:C00001@IN	bigg(6),seed(3),rhea(4),ec(2)
R04171	MNXR108708	2.6.1.7	3HKYNAKGAT|3HKYNAKGATm|RE2349C|R_3HKYNAKGAT|R_3HKYNAKGATm|R_RE2349C	rxn02912|rxn21079	RXN-10721	65888|65889|65890|65891	3-hydroxy-L-kynurenine:2-oxoglutarate aminotransferase||3-Hydroxy-L-kynurenine + 2-Oxoglutarate <=> 4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoate + L-Glutamate||1 keggC:C03227@IN + 1 keggC:C00026@IN <=> 1 keggC:C05645@IN + 1 keggC:C00025@IN	seed(2),rhea(4),ec_fallback(participants>=0.50,bigg:6)
R04172	MNXR94906	4.1.1.-	3HXKYNDCL|R_3HXKYNDCL	rxn02913			3-Hydroxy-L-kynurenine <=> 3-Hydroxykynurenamine + CO2||1 keggC:C03227@IN <=> 1 keggC:C05636@IN + 1 keggC:C00011@IN	bigg(2)
R04173	MNXR162393	2.6.1.52	PSAT|PSAT_m|PSERT|PSTA|R_PSAT|R_PSAT_m|R_PSERT|R_PSTA	rxn02914|rxn20630	PSERTRANSAM-RXN	14329|14330|14331|14332	3-phosphoserine:2-oxoglutarate aminotransferase||O-Phospho-L-serine + 2-Oxoglutarate <=> 3-Phosphonooxypyruvate + L-Glutamate||1 keggC:C01005@IN + 1 keggC:C00026@IN <=> 1 keggC:C03232@IN + 1 keggC:C00025@IN	bigg(8),seed(2),rhea(4)
