kegg	mnx_id	ec	bigg	seed	metacyc	rhea	description	ambiguous
R00002	MNXR106334	1.18.6.1		rxn11947			reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)||16 ATP + 16 H2O + 8 Reduced ferredoxin <=> 8 e- + 16 Orthophosphate + 16 ADP + 8 Oxidized ferredoxin||16 keggC:C00002@IN + 16 keggC:C00001@IN + 8 keggC:C00138@IN <=> 8 keggC:C05359@IN + 16 keggC:C00009@IN + 16 keggC:C00008@IN + 8 keggC:C00139@IN	
R00004	MNXR145285	3.1.3|3.1.3.1|3.1.3.2|3.6.1|3.6.1.1|3.6.2.1	IDP_h|IDPh|IDPh_1|IDPm|PPA|PPAer|PPAm|PPAn|R_IDP_h|R_IDPh|R_IDPh_1|R_IDPm|R_PPA|R_PPAer|R_PPAm|R_PPAn|R_r0009|r0009	rxn00001|rxn27946|rxn27947|rxn27948|rxn32487|rxn38157|rxn38158	INORGPYROPHOSPHAT-RXN	24576|24577|24578|24579	diphosphate phosphohydrolase||Diphosphate + H2O <=> 2 Orthophosphate||pyrophosphate phosphohydrolase||1 keggC:C00013@IN + 1 keggC:C00001@IN <=> 2 keggC:C00009@IN	bigg(18),seed(7),rhea(4),ec(6)
R00005	MNXR95786	3.5.1.54	ALPHNH|ALPHm|R_ALPHNH|R_ALPHm	rxn00002|rxn30346|rxn35525	ALLOPHANATE-HYDROLASE-RXN	19029|19030|19031|19032	urea-1-carboxylate amidohydrolase||Urea-1-carboxylate + H2O <=> 2 CO2 + 2 Ammonia||1 keggC:C01010@IN + 1 keggC:C00001@IN <=> 2 keggC:C00011@IN + 2 keggC:C00014@IN	bigg(4),seed(3),rhea(4)
R00006	MNXR146819	2.2.1.6|4.1.3.18	ACLS|ACLSm|PPATDh|R_ACLS|R_ACLSm|R_PPATDh	rxn00003|rxn15021|rxn27664|rxn30144|rxn30334|rxn33164	ACETOLACTSYN-RXN	25249|25250|25251|25252	pyruvate:pyruvate acetaldehydetransferase (decarboxylating)||2-Acetolactate + CO2 <=> 2 Pyruvate||2-acetolactate pyruvate-lyase (carboxylating)||1 keggC:C00900@IN + 1 keggC:C00011@IN <=> 2 keggC:C00022@IN	kegg(2),bigg(6),seed(6),rhea(4),ec(2)
R00008	MNXR106336	4.1.3.17	DDPGA|DDPGAm|HOPNTAL|OAADC|OAADCm|OCAALD|R_DDPGA|R_DDPGAm|R_HOPNTAL|R_OAADC|R_OAADCm|R_OCAALD	rxn00004|rxn18929|rxn18930	4.1.3.17-RXN|RXN-12074	22748|22749|22750|22751	4-hydroxy-4-methyl-2-oxoglutarate pyruvate-lyase (pyruvate-forming)||Parapyruvate <=> 2 Pyruvate||1 keggC:C06033@IN <=> 2 keggC:C00022@IN	seed(3),metacyc(2),rhea(4),ec_fallback(participants>=0.50,bigg:12)
R00009	MNXR96455	1.11.1|1.11.1.21|1.11.1.6|1.14.18.1	CAT|CATm|CATp|CATpp|CATr|R_CAT|R_CATm|R_CATp|R_CATpp|R_CATr	rxn00006|rxn19264|rxn22404|rxn27744|rxn31381	CATAL-RXN	20309|20310|20311|20312	hydrogen-peroxide:hydrogen-peroxide oxidoreductase||2 Hydrogen peroxide <=> Oxygen + 2 H2O||2 keggC:C00027@IN <=> 1 keggC:C00007@IN + 2 keggC:C00001@IN	bigg(10),seed(5),rhea(4),ec(4)
R00010	MNXR192384	3.2.1.20|3.2.1.28	R_TREH|R_TREHe|R_TREHpp|R_TREHv|TREH|TREHe|TREHpp|TREHv	rxn00007|rxn29977|rxn30219|rxn30442			alpha,alpha-trehalose glucohydrolase||alpha,alpha-Trehalose + H2O <=> 2 D-Glucose||1 keggC:C01083@IN + 1 keggC:C00001@IN <=> 2 keggC:C00031@IN	kegg(2),bigg(8),seed(4),ec(2)
R00011	MNXR106337	1.11.1.13|1.11.1.16|2.4.1.25|2.4.1.8|3.2.1.20|4.2.1.131		rxn20171|rxn39256	MANGANESE-PEROXIDASE-RXN	22776|22777|22778|22779	Mn(II):hydrogen-peroxide oxidoreductase||2 Manganese(2+) + Hydrogen peroxide + 2 H+ <=> 2 Manganese(3+) + 2 H2O||2 keggC:C19610@IN + 1 keggC:C00027@IN + 2 keggC:C00080@IN <=> 2 keggC:C19611@IN + 2 keggC:C00001@IN	seed(2),rhea(4),ec(6)
R00012	MNXR106338	2.7.7.45		rxn00009|rxn33150|rxn33152	2.7.7.45-RXN	18153|18154|18155|18156	GTP:GTP guanylyltransferase||2 GTP <=> Diphosphate + P1,P4-Bis(5'-guanosyl) tetraphosphate||2 keggC:C00044@IN <=> 1 keggC:C00013@IN + 1 keggC:C01261@IN	seed(3),rhea(4)
R00013	MNXR195443	4.1.1.47	GLXCBL|GLXCL|R_GLXCBL|R_GLXCL	rxn00010		10136|10137|10138|10139	glyoxylate carboxy-lyase (dimerizing; tartronate-semialdehyde-forming)||2 Glyoxylate <=> 2-Hydroxy-3-oxopropanoate + CO2||2 keggC:C00048@IN <=> 1 keggC:C01146@IN + 1 keggC:C00011@IN	bigg(4),rhea(4)
R00014	MNXR102428	1.2.4.1|2.2.1.6|4.1.1.1	ACLSa|PDHam1hi|PDHam1m|PDHam1mi|R_ACLSa|R_PDHam1hi|R_PDHam1m|R_PDHam1mi	rxn00011|rxn31360|rxn31361	RXN-12583		pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating)||Pyruvate + Thiamin diphosphate <=> 2-(alpha-Hydroxyethyl)thiamine diphosphate + CO2||1 keggC:C00022@IN + 1 keggC:C00068@IN <=> 1 keggC:C05125@IN + 1 keggC:C00011@IN	bigg(8),seed(3),ec(3)
R00015	MNXR146820	2.4.1.99		rxn00012	RXN-1781	23312|23313|23314|23315	sucrose:sucrose 1'-beta-D-fructosyltransferase||2 Sucrose <=> D-Glucose + 1F-beta-D-Fructosylsucrose||sucrose:sucrose 1F-beta-D-fructosyltransferase||2 keggC:C00089@IN <=> 1 keggC:C00031@IN + 1 keggC:C03661@IN	kegg(2),rhea(4)
R00017	MNXR151653	1.11.1.5					ferrocytochrome-c:hydrogen-peroxide oxidoreductase||Hydrogen peroxide + 2 Ferrocytochrome c <=> 2 Ferricytochrome c + 2 H2O||1 keggC:C00027@IN + 2 keggC:C00126@IN <=> 2 keggC:C00125@IN + 2 keggC:C00001@IN	
R00018	MNXR100740	2.5.1.44	HSPMS|R_HSPMS	rxn00015|rxn30077	2.5.1.44-RXN	18645|18646|18647|18648	putrescine:putrescine 4-aminobutyltransferase (ammonia-forming)||2 Putrescine <=> sym-Homospermidine + Ammonia||2 keggC:C00134@IN <=> 1 keggC:C06366@IN + 1 keggC:C00014@IN	bigg(2),seed(2),rhea(4)
R00019	MNXR100757	1.12.7.2|1.12.99.-	HYDA|HYDAh|HYDAm|R_HYDA|R_HYDAh|R_HYDAm	rxn05759|rxn34234|rxn35454	HYDROG-RXN		hydrogen:ferredoxin oxidoreductase||2 Reduced ferredoxin + 2 H+ <=> Hydrogen + 2 Oxidized ferredoxin||reduced ferredoxin:H+ oxidoreductase||2 keggC:C00138@IN + 2 keggC:C00080@IN <=> 1 keggC:C00282@IN + 2 keggC:C00139@IN	bigg(6),seed(3),ec(2)
R00021	MNXR100245	1.4.7.1	GLMS_syn|GLTS_h|GLUS_ferr|GLUSfx|R_GLMS_syn|R_GLTS_h|R_GLUS_ferr|R_GLUSfx	rxn12822|rxn31206|rxn33968	GLUTAMATE-SYNTHASE-FERREDOXIN-RXN		L-glutamate:ferredoxin oxidoreductase (transaminating)||2 L-Glutamate + 2 Oxidized ferredoxin <=> L-Glutamine + 2-Oxoglutarate + 2 Reduced ferredoxin + 2 H+||2 keggC:C00025@IN + 2 keggC:C00139@IN <=> 1 keggC:C00064@IN + 1 keggC:C00026@IN + 2 keggC:C00138@IN + 2 keggC:C00080@IN	bigg(8),seed(3)
R00022	MNXR190172	3.2.1.52	R_r0013|r0013	rxn00016|rxn23055	RXN-12625	30671|30672|30673|30674	chitobiose N-acetylglucosaminohydrolase||Chitobiose + H2O <=> 2 N-Acetyl-D-glucosamine||1 keggC:C01674@IN + 1 keggC:C00001@IN <=> 2 keggC:C00140@IN	bigg(2),seed(2),rhea(4)
R00023	MNXR106341	1.7.1.5		rxn00017	HYPONITRITE-REDUCTASE-RXN	19337|19338|19339|19340	hydroxylamine:NAD+ oxidoreductase||2 Hydroxylamine + 2 NAD+ <=> Hyponitrite + 2 NADH + 2 H+||NADH:hyponitrite oxidoreductase||2 keggC:C00192@IN + 2 keggC:C00003@IN <=> 1 keggC:C01818@IN + 2 keggC:C00004@IN + 2 keggC:C00080@IN	rhea(4)
R00024	MNXR191185	4.1.1.39	RBPC|RBPC_1|RBPCh|R_RBPC|R_RBPC_1|R_RBPCh	rxn00018|rxn20788|rxn38286	RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN	23124|23125|23126|23127	3-phospho-D-glycerate carboxy-lyase (dimerizing; D-ribulose-1,5-bisphosphate-forming)||D-Ribulose 1,5-bisphosphate + CO2 + H2O <=> 2 3-Phospho-D-glycerate||1 keggC:C01182@IN + 1 keggC:C00011@IN + 1 keggC:C00001@IN <=> 2 keggC:C00197@IN	seed(3),rhea(4),ec_fallback(participants>=0.50,bigg:6)
R00025	MNXR191418	1.13.12.16					ethylnitronate:oxygen 2-oxidoreductase (nitrite-forming)||Ethylnitronate + Oxygen + Reduced FMN <=> Acetaldehyde + Nitrite + FMN + H2O||1 keggC:C18091@IN + 1 keggC:C00007@IN + 1 keggC:C01847@IN <=> 1 keggC:C00084@IN + 1 keggC:C00088@IN + 1 keggC:C00061@IN + 1 keggC:C00001@IN	
R00026	MNXR197799	3.2.1.21	BGLA|BGLApp|BG_CELLB|R_BGLA|R_BGLApp|R_BG_CELLB	rxn00020|rxn33580			cellobiose glucohydrolase||Cellobiose + H2O <=> 2 beta-D-Glucose||1 keggC:C00185@IN + 1 keggC:C00001@IN <=> 2 keggC:C00221@IN	seed(2),ec_fallback(participants>=0.50,bigg:6)
R00027	MNXR106344	4.1.2.38		rxn00021|rxn19226	BENZOIN-ALDOLASE-RXN	21460|21461|21462|21463	2-hydroxy-1,2-diphenylethanone benzaldehyde-lyase (benzaldehyde-forming)||Benzoin <=> 2 Benzaldehyde||1 keggC:C01408@IN <=> 2 keggC:C00261@IN	seed(2),rhea(4)
R00028	MNXR184967	3.2.1.20	MALT|MALTe|MALTly|R_MALT|R_MALTe|R_MALTly	rxn00022|rxn30130|rxn43105	RXN-15910		maltose glucohydrolase||Maltose + H2O <=> 2 D-Glucose||1 keggC:C00208@IN + 1 keggC:C00001@IN <=> 2 keggC:C00031@IN	bigg(6),seed(3)
R00029	MNXR151776	1.8.2.2					thiosulfate:ferricytochrome-c oxidoreductase||2 Thiosulfate + 2 Ferricytochrome c <=> Tetrathionate + 2 Ferrocytochrome c||2 keggC:C00320@IN + 2 keggC:C00125@IN <=> 1 keggC:C02084@IN + 2 keggC:C00126@IN	
R00031	MNXR104991	1.10.3.1|1.14.18.1	R_TYRDOPO|TYRDOPO	rxn00024	RXN-5861	34283|34284|34285|34286	1,2-benzenediol:oxygen oxidoreductase||Oxygen + 2 L-Tyrosine <=> 2 3,4-Dihydroxy-L-phenylalanine||1 keggC:C00007@IN + 2 keggC:C00082@IN <=> 2 keggC:C00355@IN	bigg(2),rhea(4),ec(2)
R00032	MNXR153092	1.13.11.63|1.14.99.36	BCDO|CAROMO|R_BCDO|R_CAROMO	rxn00025|rxn35456	RXN-13374	32887|32888|32889|32890	beta-carotene:oxygen 15,15'-oxidoreductase (bond-cleaving)||beta-Carotene + Oxygen <=> 2 Retinal||1 keggC:C02094@IN + 1 keggC:C00007@IN <=> 2 keggC:C00376@IN	bigg(4),seed(2),rhea(4),ec(2)
R00033	MNXR106347	1.1.3.23		rxn00026			thiamine:oxygen 5-oxidoreductase||Thiamine + Oxygen <=> Hydrogen peroxide + Thiamine aldehyde||1 keggC:C00378@IN + 1 keggC:C00007@IN <=> 1 keggC:C00027@IN + 1 keggC:C05856@IN	
R00034	MNXR106348	4.1.99.3		rxn00027			cyclobutadipyrimidine (in DNA) pyrimidine-lyase||Cyclobutadipyrimidine <=> 2 Pyrimidine 5'-deoxynucleotide||1 keggC:C03103@IN <=> 2 keggC:C08249@IN	
R00036	MNXR103095	4.2.1.24	PPBNGS|PPBNGS_1|PPBNGS_h|R_PPBNGS|R_PPBNGS_1|R_PPBNGS_h	rxn00029|rxn28081	PORPHOBILSYNTH-RXN	24064|24065|24066|24067	5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming)||2 5-Aminolevulinate <=> Porphobilinogen + 2 H2O||2 keggC:C00430@IN <=> 1 keggC:C00931@IN + 2 keggC:C00001@IN	bigg(6),seed(2),rhea(4)
R00038	MNXR106349	4.1.2.35		rxn00030	PROPIOIN-SYNTHASE-RXN	11100|11101|11102|11103	4-hydroxy-3-hexanone propanal-lyase (propanal-forming)||2 Propanal <=> 4-Hydroxyhexan-3-one||2 keggC:C00479@IN <=> 1 keggC:C02948@IN	rhea(4)
R00039	MNXR146828	2.4.1.166		rxn21869	RXN-11490	14125|14126|14127|14128	raffinose:raffinose 1F-alpha-D-galactosyltransferase||2 Raffinose <=> Lychnose + Sucrose||2 keggC:C00492@IN <=> 1 keggC:C08242@IN + 1 keggC:C00089@IN	rhea(4)
R00041	MNXR146831	1.1.3.20					long-chain-alcohol:oxygen oxidoreductase||2 Long-chain alcohol + Oxygen <=> 2 Long-chain aldehyde + 2 H2O||2 keggC:C00339@IN + 1 keggC:C00007@IN <=> 2 keggC:C00609@IN + 2 keggC:C00001@IN	
R00042	MNXR138953	1.2.3.13		rxn00033|rxn11349	1.2.3.13-RXN	17197|17198|17199|17200	4-hydroxyphenylpyruvate:oxygen oxidoreductase (decarboxylating)||2 3-(4-Hydroxyphenyl)pyruvate + Oxygen <=> 2 4-Hydroxyphenylacetate + 2 CO2||2 keggC:C01179@IN + 1 keggC:C00007@IN <=> 2 keggC:C00642@IN + 2 keggC:C00011@IN	seed(2),rhea(4)
R00043	MNXR195614	1.13.11.43		rxn00034	LIGNOSTILBENE-ALPHA-BETA-DIOXYGENASE-RXN		1,2-bis(4-hydroxy-3-methoxyphenyl)ethylene:oxygen oxidoreductase (alpha-beta-bond-cleaving)||1,2-Bis(4-hydroxy-3-methoxyphenyl)ethylene + Oxygen <=> 2 4-Hydroxy-3-methoxy-benzaldehyde||1 keggC:C04547@IN + 1 keggC:C00007@IN <=> 2 keggC:C00755@IN	
R00044	MNXR106354	1.21.3.2		rxn00035	COLUMBAMINE-OXIDASE-RXN	23564|23565|23566|23567	columbamine:oxygen oxidoreductase (cyclizing)||2 Columbamine + Oxygen <=> 2 Berberine + 2 H2O||2 keggC:C01795@IN + 1 keggC:C00007@IN <=> 2 keggC:C00757@IN + 2 keggC:C00001@IN	rhea(4)
R00045	MNXR104992	1.10.3|1.10.3.1|1.14.18.1	R_TYRDOPO3|TYRDOPO3	rxn00036	RXN-13061	34287|34288|34289|34290	3,4-dihydroxy-L-phenylalanine:oxygen oxidoreductase||Oxygen + 2 3,4-Dihydroxy-L-phenylalanine <=> 2 Dopaquinone + 2 H2O||1 keggC:C00007@IN + 2 keggC:C00355@IN <=> 2 keggC:C00822@IN + 2 keggC:C00001@IN	bigg(2),rhea(4),ec(3)
R00047	MNXR106356	1.14.99.-					6-hydroxynicotinate,hydrogen-donor:oxygen oxidoreductase (3-hydroxylating, decarboxylating)||Oxygen + 6-Hydroxynicotinate + Reduced acceptor <=> 2,5-Dihydroxypyridine + CO2 + Acceptor + H2O||1 keggC:C00007@IN + 1 keggC:C01020@IN + 1 keggC:C00030@IN <=> 1 keggC:C01059@IN + 1 keggC:C00011@IN + 1 keggC:C00028@IN + 1 keggC:C00001@IN	
R00048	MNXR106357	3.1.1.22|3.1.1.75		rxn00038	HYDROXYBUTYRATE-DIMER-HYDROLASE-RXN	10172|10173|10174|10175	(R)-3-((R)-3-hydroxybutanoyloxy)-butanoate hydroxybutanoylhydrolase||(R)-3-((R)-3-Hydroxybutanoyloxy)butanoate + H2O <=> 2 (R)-3-Hydroxybutanoate||1 keggC:C04546@IN + 1 keggC:C00001@IN <=> 2 keggC:C01089@IN	rhea(4),ec(2)
R00049	MNXR106358	2.3.1.90		rxn00039	2.3.1.90-RXN	11416|11417|11418|11419	1-O-galloyl-beta-D-glucose:1-O-galloyl-beta-D-glucose O-galloyltransferase||2 1-O-Galloyl-beta-D-glucose <=> D-Glucose + 1-O,6-O-Digalloyl-beta-D-glucose||2 keggC:C01158@IN <=> 1 keggC:C00031@IN + 1 keggC:C04101@IN	rhea(4)
R00052	MNXR146833	1.11.1.10					chloride:hydrogen-peroxide oxidoreductase||Hydrogen peroxide + Alkane + Hydrochloric acid <=> RCl + 2 H2O||1 keggC:C00027@IN + 1 keggC:C01371@IN + 1 keggC:C01327@IN <=> 1 keggC:C01334@IN + 2 keggC:C00001@IN	
R00053	MNXR106360	3.1.1.20		rxn00040	TANNASE-RXN	16365|16366|16367|16368	digallate acylhydrolase||Digallate + H2O <=> 2 Gallate||tannin acylhydrolase||1 keggC:C01572@IN + 1 keggC:C00001@IN <=> 2 keggC:C01424@IN	rhea(4)
R00054	MNXR106361	3.1.1.40		rxn00041	ORSELLINATE-DEPSIDE-HYDROLASE-RXN	19549|19550|19551|19552	orsellinate-depside hydrolase||Lecanoric acid + H2O <=> 2 Orsellinate||1 keggC:C02868@IN + 1 keggC:C00001@IN <=> 2 keggC:C01839@IN	rhea(4)
R00055	MNXR106362	1.1.3.28		rxn00042	RXN-7802	23036|23037|23038|23039	inosine:oxygen 5'-oxidoreductase||2 Inosine + Oxygen <=> 2 5'-Oxoinosine + 2 H2O||2 keggC:C00294@IN + 1 keggC:C00007@IN <=> 2 keggC:C01993@IN + 2 keggC:C00001@IN	rhea(4)
R00056	MNXR106363	3.6.1.-|3.6.1.9		rxn05763			dinucleotide nucleotidohydrolase||Dinucleotide + H2O <=> 2 Mononucleotide||1 keggC:C01910@IN + 1 keggC:C00001@IN <=> 2 keggC:C02171@IN	ec(2)
R00057	MNXR146836	1.8.3.2				17357|17358|17359|17360	thiol:oxygen oxidoreductase||Oxygen + 2 R'C(R)SH <=> R'C(R)S-S(R)CR' + Hydrogen peroxide||1 keggC:C00007@IN + 2 keggC:C01525@IN <=> 1 keggC:C02318@IN + 1 keggC:C00027@IN	rhea(4)
R00058	MNXR106365	1.10.3.1|1.10.3.2|1.14.18.1	CAT|CATm|CATp|CATpp|CATr|CU1Opp|HMR_6729|HMR_6874|R_CAT|R_CATm|R_CATp|R_CATpp|R_CATr|R_CU1Opp|R_HMR_6729|R_HMR_6874|R_TYRDHINDOX|R_TYRDOPO3|R_TYRDOPOX|TYRDHINDOX|TYRDOPO3|TYRDOPOX	rxn00043	CATECHOL-OXIDASE-RXN	21632|21633|21634|21635	catechol:oxygen oxidoreductase||1,2-benzenediol:oxygen oxidoreductase||Oxygen + 2 Catechol <=> 2 o-Benzoquinone + 2 H2O||1 keggC:C00007@IN + 2 keggC:C00090@IN <=> 2 keggC:C02351@IN + 2 keggC:C00001@IN	rhea(4),ec(3),ec_fallback(participants>=0.50,bigg:22)
R00059	MNXR95638	3.5.1.46	AHXDH|R_AHXDH	rxn00044	RXN-3962	21364|21365|21366|21367	N-(6-aminohexanoyl)-6-aminohexanoate amidohydrolase||N-(6-Aminohexanoyl)-6-aminohexanoate + H2O <=> 2 6-Aminohexanoate||1 keggC:C01255@IN + 1 keggC:C00001@IN <=> 2 keggC:C02378@IN	bigg(2),rhea(4)
R00060	MNXR106366	1.21.3.4		rxn05765	1.10.3.7-RXN	24092|24093|24094|24095	sulochrin:oxygen oxidoreductase (cyclizing, (+)-specific)||Oxygen + 2 Sulochrin <=> 2 (+)-Bisdechlorogeodin + 2 H2O||1 keggC:C00007@IN + 2 keggC:C00495@IN <=> 2 keggC:C03036@IN + 2 keggC:C00001@IN	rhea(4)
R00061	MNXR106367	1.21.3.5		rxn05766	1.10.3.8-RXN	22616|22617|22618|22619	sulochrin:oxygen oxidoreductase (cyclizing, (-)-specific)||Oxygen + 2 Sulochrin <=> 2 (-)-Bisdechlorogeodin + 2 H2O||1 keggC:C00007@IN + 2 keggC:C00495@IN <=> 2 keggC:C03040@IN + 2 keggC:C00001@IN	rhea(4)
R00062	MNXR151426	2.4.1.95	R_UGT1A2r|UGT1A2r	rxn00045		16885|16886|16887|16888	bilirubin-glucuronoside:bilirubin-glucuronoside D-glucuronosyltransferase||2 Bilirubin-glucuronoside <=> Bilirubin + Bilirubin beta-diglucuronide||2 keggC:C03374@IN <=> 1 keggC:C00486@IN + 1 keggC:C05787@IN	rhea(4),ec_fallback(participants>=0.50,bigg:2)
R00063	MNXR106369	2.3.1.103		rxn00046	2.3.1.103-RXN	22664|22665|22666|22667	1-O-sinapoyl-beta-D-glucose:1-O-sinapoyl-beta-D-glucose 1-O-sinapoyltransferase||1-O-(4-hydroxy-3,5-dimethoxycinnamoyl)-beta-D-glucoside:1-O-(4-hydroxy-3,5-dimethoxycinnamoyl-beta-D-glucoside 1-O-sinapoyltransferase||2 1-O-Sinapoyl-beta-D-glucose <=> 1,2-Bis-O-sinapoyl-beta-D-glucose + D-Glucose||2 keggC:C01175@IN <=> 1 keggC:C04275@IN + 1 keggC:C00031@IN	rhea(4)
R00066	MNXR198700	2.5.1.9	RBFS_h|RBFSb|RBFSb_1|RIBFS|R_RBFS_h|R_RBFSb|R_RBFSb_1|R_RIBFS		RIBOFLAVIN-SYN-RXN	20772|20773|20774|20775	6,7-dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase||2 6,7-Dimethyl-8-(D-ribityl)lumazine <=> Riboflavin + 5-Amino-6-(1-D-ribitylamino)uracil||2 keggC:C04332@IN <=> 1 keggC:C00255@IN + 1 keggC:C04732@IN	rhea(4),ec_fallback(participants>=0.50,bigg:8)
R00067	MNXR192057	1.18.6.1		rxn05767	MVHMETH-RXN		reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)||2 e- + 2 H+ <=> Hydrogen||2 keggC:C05359@IN + 2 keggC:C00080@IN <=> 1 keggC:C00282@IN	
R00068	MNXR191857	1.10.3.3	ASCBOR|R_ASCBOR	rxn00028|rxn33449|rxn33465|rxn38163			L-ascorbate:oxygen oxidoreductase||Oxygen + 2 Ascorbate <=> 2 Dehydroascorbate + 2 H2O||1 keggC:C00007@IN + 2 keggC:C00072@IN <=> 2 keggC:C05422@IN + 2 keggC:C00001@IN	bigg(2),seed(4)
R00069	MNXR106371	1.14.13.-|1.17.3|1.17.3.-|1.17.3.2	3DPHBH2|ALLOPOXDhep|FAH1|FAH3|FAH3_1|FAOXC16OHC16r|HMR_2457|HMR_6907|HPHACA|LIDOMO|MXMO|P4508B11r|PXMO|RE2235C|RE2235R|R_3DPHBH2|R_ALLOPOXDhep|R_FAH1|R_FAH3|R_FAH3_1|R_FAOXC16OHC16r|R_HMR_2457|R_HMR_6907|R_HPHACA|R_LIDOMO|R_MXMO|R_P4508B11r|R_PXMO|R_RE2235C|R_RE2235R|R_XAO|R_XAO2|R_XAO2x|R_XAOx|R_XMO|XAO|XAO2|XAO2x|XAOx|XMO	rxn14394	IMIDHYD-RXN		4-imidazolone-5-propanoate:oxygen oxidoreductase||Hydantoin-5-propionate + Hydrogen peroxide <=> 4-Imidazolone-5-propanoate + Oxygen + H2O||1 keggC:C05565@IN + 1 keggC:C00027@IN <=> 1 keggC:C03680@IN + 1 keggC:C00007@IN + 1 keggC:C00001@IN	ec(4),ec_fallback(participants>=0.50,bigg:40)
R00070	MNXR146839			rxn00051	RXN-16676		D-urobilinogen:oxygen oxidoreductase||2 D-Urobilinogen + Oxygen <=> 2 D-Urobilin + 2 H2O||2 keggC:C05791@IN + 1 keggC:C00007@IN <=> 2 keggC:C05795@IN + 2 keggC:C00001@IN	
R00072	MNXR106373	1.1.3.23		rxn00052			thiamine-aldehyde:oxygen 5-oxidoreductase||Thiamine aldehyde + Oxygen + H2O <=> Hydrogen peroxide + Thiamine acetic acid||1 keggC:C05856@IN + 1 keggC:C00007@IN + 1 keggC:C00001@IN <=> 1 keggC:C00027@IN + 1 keggC:C02892@IN	
R00073	MNXR106374	1.14.99.1					reduced acceptor:prostaglandin G2 oxidoreductase||Prostaglandin H2 + Acceptor + H2O <=> Prostaglandin G2 + Reduced acceptor||1 keggC:C00427@IN + 1 keggC:C00028@IN + 1 keggC:C00001@IN <=> 1 keggC:C05956@IN + 1 keggC:C00030@IN	
R00074	MNXR106375	1.10.3.4		rxn00054	O-AMINOPHENOL-OXIDASE-RXN	40963|40964|40965|40966	2-aminophenol:oxygen oxidoreductase (dimerizing)||4 2-Aminophenol + 3 Oxygen <=> 2 2-Aminophenoxazin-3-one + 6 H2O||4 keggC:C01987@IN + 3 keggC:C00007@IN <=> 2 keggC:C02161@IN + 6 keggC:C00001@IN	rhea(4)
R00075	MNXR106376	2.5.1.43		rxn00055|rxn37935	2.5.1.43-RXN	16481|16482|16483|16484	S-adenosyl-L-methionine:S-adenosyl-L-methionine 3-amino-3-carboxypropyltransferase||3 S-Adenosyl-L-methionine <=> 3 5'-Methylthioadenosine + Nicotianamine||3 keggC:C00019@IN <=> 3 keggC:C00170@IN + 1 keggC:C05324@IN	seed(2),rhea(4)
R00076	MNXR106377	2.7.11.19		rxn14392			ATP:phosphorylase-b phosphotransferase||4 ATP + 2 Phosphorylase b <=> 4 ADP + Phosphorylase a||ATP:[glycogen phosphorylase] phosphotransferase||4 keggC:C00002@IN + 2 keggC:C02308@IN <=> 4 keggC:C00008@IN + 1 keggC:C02307@IN	
R00077	MNXR106378	3.1.3.17		rxn05770			[phosphorylase a] phosphohydrolase||Phosphorylase a + 4 H2O <=> 2 Phosphorylase b + 4 Orthophosphate||[glycogen phosphorylase] phosphohydrolase||1 keggC:C02307@IN + 4 keggC:C00001@IN <=> 2 keggC:C02308@IN + 4 keggC:C00009@IN	
R00078	MNXR99561	1.16.3.1	FERO|FEROc|FEROpp|R_FERO|R_FEROc|R_FEROpp|R_r0016|r0016	rxn00056|rxn25990|rxn31826	RXN0-1483	11148|11149|11150|11151	Fe(II):oxygen oxidoreductase||Fe2+:oxygen oxidoreductase||Oxygen + 4 Fe2+ + 4 H+ <=> 4 Fe3+ + 2 H2O||1 keggC:C00007@IN + 4 keggC:C14818@IN + 4 keggC:C00080@IN <=> 4 keggC:C14819@IN + 2 keggC:C00001@IN	bigg(8),seed(3),rhea(4)
R00080	MNXR106379	1.1.3.14|1.10.3.1	HMR_6874|R_HMR_6874|R_TYRDOPO3|R_TYRDOPOX|TYRDOPO3|TYRDOPOX	rxn00057	CATECHOL-OXIDASE-DIMERIZING-RXN	12809|12810|12811|12812	catechol:oxygen oxidoreductase (dimerizing)||4 Catechol + 3 Oxygen <=> 6 H2O + 2 Dibenzo[1,4]dioxin-2,3-dione||4 keggC:C00090@IN + 3 keggC:C00007@IN <=> 6 keggC:C00001@IN + 2 keggC:C03861@IN	rhea(4),ec(2),ec_fallback(participants>=0.50,bigg:6)
R00082	MNXR106381	1.7.2.1|1.9.3.1|7.1.1.9	CYOO2pp|CYOOm2|CYOOm2_cho|CYOOm2i|R_CYOO2pp|R_CYOOm2|R_CYOOm2_cho|R_CYOOm2i	rxn05771|rxn31386			ferrocytochrome c2:oxygen oxidoreductase||Oxygen + 4 Ferrocytochrome c2 <=> 4 Ferricytochrome c2 + 2 H2O||1 keggC:C00007@IN + 4 keggC:C01000@IN <=> 4 keggC:C00997@IN + 2 keggC:C00001@IN	seed(2),ec(3),ec_fallback(participants>=0.50,bigg:8)
