compartment	kegg	bigg_id	flux
c	R00155	ACP1_FMN	0.0
c	R00156	NDPK2	-1000.0
c	R00158	UMPK	-1000.0
c	R00511	NTD4	0.0
c	R00512	CYTK1	0.0
c	R00513	CYTDK1	0.0
c	R00514	NDP1	0.0
c	R00515	UDPGP	0.0
c	R00517	CYTDK2	0.0
c	R00570	NDPK3	-1000.0
c	R00571	CTPS1	0.0
c	R00573	CTPS2	0.0
c	R00575	CBPS	0.0
c	R00662	NDP8	0.0
c	R00905	UPPN	0.0
c	R00963	NTD2	0.0
c	R00964	URIK1	0.0
c	R00965	OMPDC	0.0
c	R00966	UPPRT	383.5093370323996
c	R00968	URIK2	0.0
c	R00974	CSND	0.0
c	R00977	DURADx	0.0
c	R00978	DURAD	0.0
c	R01397	ASPCT	-1.3383587911140327e-13
c	R01415	DURAD2	1.28139891394378e-12
c	R01567	TMDK1	0.0
c	R01569	NTD5	0.0
c	R01570	TMDPP	-1.28139891394378e-12
c	R01663	DCMPDA	-343.15743517407884
c	R01664	NTD3	0.0
c	R01665	CYTK2	-490.09960074384264
c	R01666	ADADir	0.0
c	R01870	ORPT	0.0
c	R01876	PYNP2r	383.5093370323995
c	R01878	CYTD	0.0
c	R01993	DHORTS	1.3383587911140327e-13
c	R02018	RNDR4	1000.0
c	R02022	RNTR3	-1000.0
c	R02023	RNTR4	-656.8425648259207
c	R02024	RNDR3	5.622634483952668
c	R02093	NDPK4	0.0
c	R02094	DTMPK	0.0
c	R02098	URIDK2r	-1000.0
c	R02099	DURIK1	0.0
c	R02100	DUTPDP	0.0
c	R02101	TMDS	0.0
c	R02102	NTD1	0.0
c	R02269	DHPM1	0.0
c	R02325	DCTPD	0.0
c	R02326	NDPK7	1000.0
c	R02331	NDPK6	-1000.0
c	R02484	DURIPP	1000.0000000000001
c	R02485	DCYTD	0.0
c	R03055	DHPM2	0.0
c	R04666	BUP2	0.0
c	R06613	DHFR2i	0.0
c	R09289	ALCD2y	1.2119436404960136e-13
c	R09947	NADN	0.0
c	R11026	r0330	0.0
m	R00158	ADK3m	0.0
m	R00159	TDPm	0.0
m	R00512	CYTK1m	0.0
m	R00513	CYTDK2m	0.0
m	R00570	NDPK3m	0.0
m	R00571	GLUNm	331.2148206732507
m	R00575	CBPSam	0.0
m	R01567	TMDK1m	0.0
m	R01569	NTD5m	0.0
m	R01666	DCK1m	651.2199303419686
m	R02093	NDPK4m	0.0
m	R02094	DTMPKm	0.0
m	R02098	URIDK2m	-343.15743517407884
m	R02099	DURIK1m	0.0
m	R02100	DUTPDPm	0.0
m	R02102	NTD1m	0.0
m	R02326	NDPK7m	0.0
m	R02331	NDPK6m	-308.06249516789023
m	R06613	r0514	-1.4967466494384285e-14
m	R09289	r0246	0.0
m	R11026	r0331	0.0
n	R00156	NDPK2n	1000.0
n	R00158	UMPKn	2.4435603586915573e-13
n	R00512	CYTK1n	-999.9999999999998
n	R00570	NDPK3n	-999.9999999999998
n	R01665	CYTK2n	0.0
n	R01666	DCK1n	-1000.000000000003
n	R01878	CYTDn	30.804886197682315
n	R02023	RE0456N	999.9999999999998
n	R02093	NDPK4n	1000.0
n	R02100	DUTPDPn	0.0
n	R02326	NDPK7n	0.0
n	R02331	NDPK6n	-1000.0
n	R02485	DCYTDn	0.0
r	R00139	ATP1ter	0.0
