compartment	kegg	bigg_id	flux
c	R00702	HMR_1465	0.0
c	R01456	HMR_1565	15.402820600449077
c	R01457	DSMSTOLR	0.0
c	R02872	HMR_1467	0.0
c	R02874	SMO	0.0
c	R03199	LNSTLS	0.0
c	R03353	CHLSTD78I	0.0
c	R03610	25HVITD3c	0.0
c	R03611	CYP2R1	0.0
c	R03689	RE2407C	0.0
c	R04804	CHLSTI_1	0.0
c	R05639	C14STR	0.0
c	R07487	RE2410C	0.0
c	R07488	RE0568C	0.0
c	R07494	HMR_1495	0.0
c	R07495	HMR_1500	0.0
c	R09516	RE2240C	0.0
c	R12371	C3STDH1	0.0
c	R12399	ALR2	330.4115763455362
c	R12405	HMR_1509	0.0
m	R03610	25VITD3Hm	0.0
m	R09516	24_25VITD3Hm	0.0
m	R12399	RE3476M	0.0
r	R00702	SQLSr	0.0
r	R01456	DHCR72r	0.0
r	R01457	DSREDUCr	0.0
r	R01461	r1164	0.0
r	R01462	r1177	0.0
r	R02874	SQLEr	0.0
r	R03199	LNSTLSr	0.0
r	R03353	EBP2r	0.0
r	R04804	EBP1r	0.0
r	R05639	C14STRr	0.0
r	R05703	r0783	0.0
r	R07487	DHCR71r	0.0
r	R07488	SR5AR2r	0.0
r	R07494	C3STDH1Pr	0.0
r	R07495	r1135	0.0
r	R07498	r1380	0.0
r	R12371	C3STDH1r	0.0
r	R12400	HSD17B7r	0.0
r	R12405	C3STKR2r	0.0
