compartment	kegg	bigg_id	flux
c	R00009	CAT	0.0
c	R00021	GLUN	0.0
c	R00235	ACS	0.1470705880223831
c	R00238	ACACT1r	0.0
c	R00253	GLNS	0.23618517391801236
c	R00342	MDH	1.3558978508431667
c	R00369	AGTi	0.015000681820028146
c	R00465	ALCD19y	0.0
c	R00472	MALS	0.0
c	R00479	ICL	0.015000681820028143
c	R00519	FDH	0.0
c	R00717	G3PD1ir	0.007110282881489258
c	R00945	GHMT2r	0.0970913445452676
c	R01325	ACONT	0.2660546024102459
c	R01333	ALDD19xr	0.0
c	R01334	DPGM	0.0
c	R01388	2HBO	0.0
c	R01392	ALCD23yi	0.0
c	R01781	ALCD22xi	0.0
c	R01859	ACCOAC	0.11445540379271778
c	R01959	FKYNH	0.0
c	R03140	PPYRDC	0.0
c	R03146	FDNG	0.0
c	R03146	FDNG	0.0
c	R08572	PFK_3	8.924879730095052
m	R00235	ACSm	0.0
m	R00238	ACACT1m	0.0037998272888930436
m	R00342	MDHm	-1.0117769482454484
m	R00351	CSm	0.5292790018772008
m	R00717	G3PD1irm	0.0
m	R00945	GHMT2rm	0.0
m	R01221	GLYCLm	0.0
m	R01325	ACONTm	0.2632243994669549
m	R01333	ALDD20xm	0.0
m	R01392	KARA1im	0.16149265977795446
m	R01781	ALCD22xim	0.0
m	R01859	ACCOACrm	0.0
x	R00009	CATp	0.0
x	R00235	ACSp	0.0
x	R00238	ACACT6p	0.0
x	R00342	MDHp	0.0
x	R00351	CSp	0.0
x	R00472	MALSp	0.0
